,ˈswɒbɫ̩,ˈ(sw ɒ ∅) (b ɫ̩ ∅)
,ˈbuːbɫ̩,ˈ(b uː ∅) (b ɫ̩ ∅)
,ˈspluːʤkrʊmf,ˈ(spl uː ʤ) (kr ʊ mf)
,ʃɪˈbʊblɪ,(ʃ ɪ ∅) ˈ(b ʊ ∅) (bl ɪ ∅)
,ʤaˈgəʊbɫ̩,(ʤ a ∅) ˈ(g əʊ ∅) (b ɫ̩ ∅)
,ˈwʊndəstrʊknəs,ˈ(w ʊ n) (d ə ∅) (str ʊ k) (n ə s)
,framˈbaʊʃəsli,(fr a m) ˈ(b aʊ ∅) (ʃ ə ∅) (sl i ∅)
,ˈsɪgrɪŋ,ˈ(s ɪ ∅) (gr ɪ ŋ)
,ˈgʊmbɪ,ˈ(g ʊ m) (b ɪ ∅)
,ambiˌdekstrəˈfɔːbiə,(∅ a m) (b i ∅) ˌ(d e k) (str ə ∅) ˈ(f ɔː ∅) (b iə ∅)
,ˈflʌbɫ̩,ˈ(fl ʌ ∅) (b ɫ̩ ∅)
,anˈsɒmɪnəs,(∅ a n) ˈ(s ɒ ∅) (m ɪ ∅) (n ə s)
,ˈnɒkɫ̩,ˈ(n ɒ ∅) (k ɫ̩ ∅)
,gəˈflʊŋk,(g ə ∅) ˈ(fl ʊ ŋk)
,ˈgrambliŋ,ˈ(gr a m) (bl i ŋ)
,ˈɒŋgɫ̩əz,ˈ(∅ ɒ ŋ) (g ɫ̩ ∅) (∅ ə z)
,ˈpluːzɫ̩,ˈ(pl uː ∅) (z ɫ̩ ∅)
,ˈtɪsbɪt,ˈ(t ɪ s) (b ɪ t)
,tleɪ,ERROR
,ˈklɪptəməʊ,ˈ(kl ɪ p) (t ə ∅) (m əʊ ∅)
,ˈgluːptɑː,ˈ(gl uː p) (t ɑː ∅)
,ˈkwɒdɪkɫ̩,ˈ(kw ɒ ∅) (d ɪ ∅) (k ɫ̩ ∅)
,frʌnt,(fr ʌ nt)
,ˈɪŋkəʊsplaʃ,ˈ(∅ ɪ ŋ) (k əʊ ∅) (spl a ʃ)
,splʌnʤ,(spl ʌ nʤ)
,ˈbʊgəbuː,ˈ(b ʊ ∅) (g ə ∅) (b uː ∅)
,meɪpɫ̩ˈiːni,(m eɪ ∅) (p ɫ̩ ∅) ˈ(∅ iː ∅) (n i ∅)
,ˌpɒpəˌketəˈpetəlɪʃ,ˌ(p ɒ ∅) (p ə ∅) ˌ(k e ∅) (t ə ∅) ˈ(p e ∅) (t ə ∅) (l ɪ ʃ)
,ˈnʊmptɪ,ˈ(n ʊ mp) (t ɪ ∅)
,ˈwɪdɫ̩ɪ,ˈ(w ɪ ∅) (d ɫ̩ ∅) (∅ ɪ ∅)
,enˈkefələs,(∅ e n) ˈ(k e ∅) (f ə ∅) (l ə s)
,ˈwagəzɪl,ˈ(w a ∅) (g ə ∅) (z ɪ l)
,melənˈdɪʃəs,(m e ∅) (l ə n) ˈ(d ɪ ∅) (ʃ ə s)
,ambɪgjʊˈleɪʃəs,(∅ a m) (b ɪ ∅) (gj ʊ ∅) ˈ(l eɪ ∅) (ʃ ə s)
,əˈraŋəpɔɪd,(∅ ə ∅) ˈ(r a ŋ) (∅ ə ∅) (p ɔɪ d)
,kəˌbuːdɫ̩ˈɪnɪŋ,(k ə ∅) ˌ(b uː ∅) (d ɫ̩ ∅) ˈ(∅ ɪ ∅) (n ɪ ŋ)
,əbˌzɜːdəʊˈfɪzɪkəl,(∅ ə b) ˌ(z ɜː ∅) (d əʊ ∅) ˈ(f ɪ ∅) (z ɪ ∅) (k ə l)
,fləˈbʌbɫ̩,(fl ə ∅) ˈ(b ʌ ∅) (b ɫ̩ ∅)
,ˈrʊmpɫ̩bʊm,ˈ(r ʊ m) (p ɫ̩ ∅) (b ʊ m)
,əˈlʊŋgəlʊŋ,(∅ ə ∅) ˈ(l ʊ ŋ) (g ə ∅) (l ʊ ŋ)
,bɒŋgɒnˈdɪŋgi,(b ɒ ŋ) (g ɒ n) ˈ(d ɪ ŋ) (g i ∅)
,ˈgɜːrpɫ̩trɒn,ˈ(g ɜː r) (p ɫ̩ ∅) (tr ɒ n)
,θɒk,(θ ɒ k)
,skrɒˈfeːrjələs,(skr ɒ ∅) ˈ(f eː r) (j ə ∅) (l ə s)
,gruːl,(gr uː l)
,ˈfɪtɫ̩,ˈ(f ɪ ∅) (t ɫ̩ ∅)
,ˈverinadɫ̩,ˈ(v e ∅) (r i ∅) (n a ∅) (d ɫ̩ ∅)
,nɪmp,(n ɪ mp)
,dɪsˈpleɪʒiə,(d ɪ ∅) ˈ(spl eɪ ∅) (ʒ iə ∅)
,ˈgɔːfɪn,ˈ(g ɔː ∅) (f ɪ n)
,ˈgrʌndɫ̩,ˈ(gr ʌ n) (d ɫ̩ ∅)
,ˈlambɔɪl,ˈ(l a m) (b ɔɪ l)
,skrenʧ,(skr e nʧ)
,ˈskruːʧɪŋ,ˈ(skr uː ∅) (ʧ ɪ ŋ)
,ˈhʊgɫ̩,ˈ(h ʊ ∅) (g ɫ̩ ∅)
,pɒŋk,(p ɒ ŋk)
,gwaˈluːfa,(gw a ∅) ˈ(l uː ∅) (f a ∅)
,ˈdrʊbjələs,ˈ(dr ʊ ∅) (bj ə ∅) (l ə s)
,jaməˈkuːʧi,(j a ∅) (m ə ∅) ˈ(k uː ∅) (ʧ i ∅)
,flaʊrɪˈneɪliə,(fl aʊ ∅) (r ɪ ∅) ˈ(n eɪ ∅) (l iə ∅)
,kɒlɪˈfɔːbɫ̩,(k ɒ ∅) (l ɪ ∅) ˈ(f ɔː ∅) (b ɫ̩ ∅)
,bəˈnɜːbitɒt,(b ə ∅) ˈ(n ɜː ∅) (b i ∅) (t ɒ t)
,ˈkwɪfɫ̩,ˈ(kw ɪ ∅) (f ɫ̩ ∅)
,ˈbɜːglɪʤ,ˈ(b ɜː ∅) (gl ɪ ʤ)
