a,ə,(∅ ə ∅)
administer,ədˈmɪnɪstə,(∅ ə d) ˈ(m ɪ ∅) (n ɪ ∅) (st ə ∅)
administration,ədˌmɪnɪˈstreɪʃn̩,(∅ ə d) ˌ(m ɪ ∅) (n ɪ ∅) ˈ(str eɪ ∅) (ʃ n̩ ∅)
administrative,ədˈmɪnɪstrətɪv,(∅ ə d) ˈ(m ɪ ∅) (n ɪ ∅) (str ə ∅) (t ɪ v)
administrator,ədˈmɪnɪstreɪtə,(∅ ə d) ˈ(m ɪ ∅) (n ɪ ∅) (str eɪ ∅) (t ə ∅)
admire,ədˈmaɪə,(∅ ə d) ˈ(m aɪ ∅) (∅ ə ∅)
admission,ədˈmɪʃn̩,(∅ ə d) ˈ(m ɪ ∅) (ʃ n̩ ∅)
admit,ədˈmɪt,(∅ ə d) ˈ(m ɪ t)
adolescent,ˌadəˈlesənt,ˌ(∅ a ∅) (d ə ∅) ˈ(l e ∅) (s ə nt)
adopt,əˈdɒpt,(∅ ə ∅) ˈ(d ɒ pt)
adoption,əˈdɒpʃn̩,(∅ ə ∅) ˈ(d ɒ p) (ʃ n̩ ∅)
adult,ˈadʌlt,ˈ(∅ a ∅) (d ʌ lt)
advance,ədˈvɑːns,(∅ ə d) ˈ(v ɑː ns)
advanced,ədˈvɑːnst,(∅ ə d) ˈ(v ɑː nst)
advantage,ədˈvɑːntɪʤ,(∅ ə d) ˈ(v ɑː n) (t ɪ ʤ)
adventure,ədˈvenʧə,(∅ ə d) ˈ(v e n) (ʧ ə ∅)
advertising,ˈadvətaɪzɪŋ,ˈ(∅ a d) (v ə ∅) (t aɪ ∅) (z ɪ ŋ)
advice,ədˈvaɪs,(∅ ə d) ˈ(v aɪ s)
advise,ədˈvaɪz,(∅ ə d) ˈ(v aɪ z)
adviser,ədˈvaɪzə,(∅ ə d) ˈ(v aɪ ∅) (z ə ∅)
advocate,ˈadvəkeɪt,ˈ(∅ a d) (v ə ∅) (k eɪ t)
aesthetic,iːsˈθetɪk,(∅ iː s) ˈ(θ e ∅) (t ɪ k)
affair,əˈfeə,(∅ ə ∅) ˈ(f eə ∅)
affect,əˈfekt,(∅ ə ∅) ˈ(f e kt)
afford,əˈfɔːd,(∅ ə ∅) ˈ(f ɔː d)
afraid,əˈfreɪd,(∅ ə ∅) ˈ(fr eɪ d)
african,ˈafrɪkən,ˈ(∅ a ∅) (fr ɪ ∅) (k ə n)
after,ˈɑːftə,ˈ(∅ ɑː f) (t ə ∅)
afternoon,ˌɑːftəˈnuːn,ˌ(∅ ɑː f) (t ə ∅) ˈ(n uː n)
afterward,ˈɑːftəwəd,ˈ(∅ ɑː f) (t ə ∅) (w ə d)
again,əˈgen,(∅ ə ∅) ˈ(g e n)
against,əˈgenst,(∅ ə ∅) ˈ(g e nst)
age,eɪʤ,(∅ eɪ ʤ)
agency,ˈeɪʤənsi,ˈ(∅ eɪ ∅) (ʤ ə n) (s i ∅)
agenda,əˈʤendə,(∅ ə ∅) ˈ(ʤ e n) (d ə ∅)
agent,ˈeɪʤənt,ˈ(∅ eɪ ∅) (ʤ ə nt)
aggression,əˈgreʃn̩,(∅ ə ∅) ˈ(gr e ∅) (ʃ n̩ ∅)
aggressive,əˈgresɪv,(∅ ə ∅) ˈ(gr e ∅) (s ɪ v)
ago,əˈgəʊ,(∅ ə ∅) ˈ(g əʊ ∅)
agree,əˈgriː,(∅ ə ∅) ˈ(gr iː ∅)
agreement,əˈgriːmənt,(∅ ə ∅) ˈ(gr iː ∅) (m ə nt)
agricultural,ˌagrɪˈkʌlʧrəl,ˌ(∅ a ∅) (gr ɪ ∅) ˈ(k ʌ lʧ) (r ə l)
agriculture,ˈagrɪˌkʌlʧə,ˈ(∅ a ∅) (gr ɪ ∅) ˌ(k ʌ l) (ʧ ə ∅)
ahead,əˈhed,(∅ ə ∅) ˈ(h e d)
aid,eɪd,(∅ eɪ d)
aide,eɪd,(∅ eɪ d)
aids,eɪdz,(∅ eɪ dz)
aim,eɪm,(∅ eɪ m)
air,eə,(∅ eə ∅)
aircraft,ˈeəkrɑːft,ˈ(∅ eə ∅) (kr ɑː ft)
airline,ˈeəleɪn,ˈ(∅ eə ∅) (l eɪ n)
airplane,ˈeəpleɪn,ˈ(∅ eə ∅) (pl eɪ n)
airport,ˈeəpɔːt,ˈ(∅ eə ∅) (p ɔː t)
aisle,aɪl,(∅ aɪ l)
alarm,əˈlɑːm,(∅ ə ∅) ˈ(l ɑː m)
album,ˈalbəm,ˈ(∅ a l) (b ə m)
alcohol,ˈalkəhɒl,ˈ(∅ a l) (k ə ∅) (h ɒ l)
alien,ˈeɪliən,ˈ(∅ eɪ ∅) (l iə n)
alike,əˈlaɪk,(∅ ə ∅) ˈ(l aɪ k)
alive,əˈlaɪv,(∅ ə ∅) ˈ(l aɪ v)
all,ɔːl,(∅ ɔː l)
allegation,ˌaləˈgeɪʃn̩,ˌ(∅ a ∅) (l ə ∅) ˈ(g eɪ ∅) (ʃ n̩ ∅)
alleged,əˈleʤd,(∅ ə ∅) ˈ(l e ʤd)
allegedly,əˈleʤɪdli,(∅ ə ∅) ˈ(l e ∅) (ʤ ɪ d) (l i ∅)
alley,ˈali,ˈ(∅ a ∅) (l i ∅)
alliance,əˈlaɪəns,(∅ ə ∅) ˈ(l aɪ ∅) (∅ ə ns)
allow,əˈlaʊ,(∅ ə ∅) ˈ(l aʊ ∅)
ally,ˈalaɪ,ˈ(∅ a ∅) (l aɪ ∅)
almost,ˈɔːlməʊst,ˈ(∅ ɔː l) (m əʊ st)
alone,əˈləʊn,(∅ ə ∅) ˈ(l əʊ n)
along,əˈlɒŋ,(∅ ə ∅) ˈ(l ɒ ŋ)
alongside,əˌlɒŋˈsaɪd,(∅ ə ∅) ˌ(l ɒ ŋ) ˈ(s aɪ d)
already,ɔːlˈredi,(∅ ɔː l) ˈ(r e ∅) (d i ∅)
also,ˈɔːlsəʊ,ˈ(∅ ɔː l) (s əʊ ∅)
alter,ˈɔːltə,ˈ(∅ ɔː l) (t ə ∅)
alternative,ɔːlˈtɜːnətɪv,(∅ ɔː l) ˈ(t ɜː ∅) (n ə ∅) (t ɪ v)
although,ɔːlˈðəʊ,(∅ ɔː l) ˈ(ð əʊ ∅)
altogether,ˌɔːltəˈgeðə,ˌ(∅ ɔː l) (t ə ∅) ˈ(g e ∅) (ð ə ∅)
aluminium,ˌaljəˈmɪniəm,ˌ(∅ a ∅) (lj ə ∅) ˈ(m ɪ ∅) (n iə m)
always,ˈɔːlweɪz,ˈ(∅ ɔː l) (w eɪ z)
amazing,əˈmeɪzɪŋ,(∅ ə ∅) ˈ(m eɪ ∅) (z ɪ ŋ)
ambassador,amˈbasədə,(∅ a m) ˈ(b a ∅) (s ə ∅) (d ə ∅)
ambition,amˈbɪʃn̩,(∅ a m) ˈ(b ɪ ∅) (ʃ n̩ ∅)
ambitious,amˈbɪʃəs,(∅ a m) ˈ(b ɪ ∅) (ʃ ə s)
amendment,əˈmendmənt,(∅ ə ∅) ˈ(m e nd) (m ə nt)
american,əˈmerɪkən,(∅ ə ∅) ˈ(m e ∅) (r ɪ ∅) (k ə n)
amid,əˈmɪd,(∅ ə ∅) ˈ(m ɪ d)
among,əˈmʌŋ,(∅ ə ∅) ˈ(m ʌ ŋ)
amount,əˈmaʊnt,(∅ ə ∅) ˈ(m aʊ nt)
analyse,ˈanəlaɪz,ˈ(∅ a ∅) (n ə ∅) (l aɪ z)
analysis,əˈnaləsɪs,(∅ ə ∅) ˈ(n a ∅) (l ə ∅) (s ɪ s)
analyst,ˈanəlɪst,ˈ(∅ a ∅) (n ə ∅) (l ɪ st)
ancestor,ˈansestə,ˈ(∅ a n) (s e ∅) (st ə ∅)
ancient,ˈeɪnʃənt,ˈ(∅ eɪ n) (ʃ ə nt)
and,and,(∅ a nd)
angel,ˈeɪnʤəl,ˈ(∅ eɪ n) (ʤ ə l)
anger,ˈaŋgə,ˈ(∅ a ŋ) (g ə ∅)
angle,ˈaŋgɫ̩,ˈ(∅ a ŋ) (g ɫ̩ ∅)
angry,ˈaŋgri,ˈ(∅ a ŋ) (gr i ∅)
animal,ˈanɪməl,ˈ(∅ a ∅) (n ɪ ∅) (m ə l)
ankle,ˈaŋkɫ̩,ˈ(∅ a ŋ) (k ɫ̩ ∅)
anniversary,ˌanɪˈvɜːsəri,ˌ(∅ a ∅) (n ɪ ∅) ˈ(v ɜː ∅) (s ə ∅) (r i ∅)
announce,əˈnaʊns,(∅ ə ∅) ˈ(n aʊ ns)
announcement,əˈnaʊnsmənt,(∅ ə ∅) ˈ(n aʊ ns) (m ə nt)
annual,ˈanjuəl,ˈ(∅ a ∅) (nj uə l)
annually,ˈanjuəli,ˈ(∅ a ∅) (nj uə ∅) (l i ∅)
anonymous,əˈnɒnɪməs,(∅ ə ∅) ˈ(n ɒ ∅) (n ɪ ∅) (m ə s)
another,əˈnʌðə,(∅ ə ∅) ˈ(n ʌ ∅) (ð ə ∅)
answer,ˈɑːnsə,ˈ(∅ ɑː n) (s ə ∅)
anticipate,anˈtɪsɪpeɪt,(∅ a n) ˈ(t ɪ ∅) (s ɪ ∅) (p eɪ t)
anxiety,aŋˈzaɪəti,(∅ a ŋ) ˈ(z aɪ ∅) (∅ ə ∅) (t i ∅)
anxious,ˈaŋkʃəs,ˈ(∅ a ŋk) (ʃ ə s)
any,ˈeni,ˈ(∅ e ∅) (n i ∅)
anybody,ˈenibɒdi,ˈ(∅ e ∅) (n i ∅) (b ɒ ∅) (d i ∅)
anymore,ˌeniˈmɔː,ˌ(∅ e ∅) (n i ∅) ˈ(m ɔː ∅)
anyone,ˈeniwʌn,ˈ(∅ e ∅) (n i ∅) (w ʌ n)
anything,ˈeniθɪŋ,ˈ(∅ e ∅) (n i ∅) (θ ɪ ŋ)
anyway,ˈeniweɪ,ˈ(∅ e ∅) (n i ∅) (w eɪ ∅)
anywhere,ˈeniweə,ˈ(∅ e ∅) (n i ∅) (w eə ∅)
apart,əˈpɑːt,(∅ ə ∅) ˈ(p ɑː t)
apartment,əˈpɑːtmənt,(∅ ə ∅) ˈ(p ɑː t) (m ə nt)
apologize,əˈpɒləʤaɪz,(∅ ə ∅) ˈ(p ɒ ∅) (l ə ∅) (ʤ aɪ z)
apology,əˈpɒləʤi,(∅ ə ∅) ˈ(p ɒ ∅) (l ə ∅) (ʤ i ∅)
apparent,əˈparənt,(∅ ə ∅) ˈ(p a ∅) (r ə nt)
apparently,əˈparəntli,(∅ ə ∅) ˈ(p a ∅) (r ə nt) (l i ∅)
appeal,əˈpiːl,(∅ ə ∅) ˈ(p iː l)
appeal,əˈpiːl,(∅ ə ∅) ˈ(p iː l)
appear,əˈpiə,(∅ ə ∅) ˈ(p iə ∅)
appearance,əˈpiərəns,(∅ ə ∅) ˈ(p iə ∅) (r ə ns)
apple,ˈapɫ̩,ˈ(∅ a ∅) (p ɫ̩ ∅)
application,ˌaplɪˈkeɪʃn̩,ˌ(∅ a ∅) (pl ɪ ∅) ˈ(k eɪ ∅) (ʃ n̩ ∅)
apply,əˈplaɪ,(∅ ə ∅) ˈ(pl aɪ ∅)
appoint,əˈpɔɪnt,(∅ ə ∅) ˈ(p ɔɪ nt)
appointment,əˈpɔɪntmənt,(∅ ə ∅) ˈ(p ɔɪ nt) (m ə nt)
appreciate,əˈpriːʃieɪt,(∅ ə ∅) ˈ(pr iː ∅) (ʃ i ∅) (∅ eɪ t)
appreciation,əˌpriːʃiˈeɪʃn̩,(∅ ə ∅) ˌ(pr iː ∅) (ʃ i ∅) ˈ(∅ eɪ ∅) (ʃ n̩ ∅)
approach,əˈprəʊʧ,(∅ ə ∅) ˈ(pr əʊ ʧ)
appropriate,əˈprəʊpriət,(∅ ə ∅) ˈ(pr əʊ ∅) (pr iə t)
approval,əˈpruːvəl,(∅ ə ∅) ˈ(pr uː ∅) (v ə l)
approve,əˈpruːv,(∅ ə ∅) ˈ(pr uː v)
approximately,əˈprɒksɪmətli,(∅ ə ∅) ˈ(pr ɒ k) (s ɪ ∅) (m ə t) (l i ∅)
arab,ˈarəb,ˈ(∅ a ∅) (r ə b)
architect,ˈɑːkɪtekt,ˈ(∅ ɑː ∅) (k ɪ ∅) (t e kt)
architecture,ˈɑːkɪtekʧə,ˈ(∅ ɑː ∅) (k ɪ ∅) (t e k) (ʧ ə ∅)
area,ˈeəriə,ˈ(∅ eə ∅) (r iə ∅)
arena,əˈriːnə,(∅ ə ∅) ˈ(r iː ∅) (n ə ∅)
argue,ˈɑːgjuː,ˈ(∅ ɑː ∅) (gj uː ∅)
argument,ˈɑːgjumənt,ˈ(∅ ɑː ∅) (gj u ∅) (m ə nt)
arise,əˈraɪz,(∅ ə ∅) ˈ(r aɪ z)
arm,ɑːm,(∅ ɑː m)
armed,ɑːmd,(∅ ɑː md)
army,ˈɑːmi,ˈ(∅ ɑː ∅) (m i ∅)
around,əˈraʊnd,(∅ ə ∅) ˈ(r aʊ nd)
arrange,əˈreɪnʤ,(∅ ə ∅) ˈ(r eɪ nʤ)
arrangement,əˈreɪnʤmənt,(∅ ə ∅) ˈ(r eɪ nʤ) (m ə nt)
array,əˈreɪ,(∅ ə ∅) ˈ(r eɪ ∅)
arrest,əˈrest,(∅ ə ∅) ˈ(r e st)
arrival,əˈraɪvəl,(∅ ə ∅) ˈ(r aɪ ∅) (v ə l)
arrive,əˈraɪv,(∅ ə ∅) ˈ(r aɪ v)
arrow,ˈarəʊ,ˈ(∅ a ∅) (r əʊ ∅)
art,ɑːt,(∅ ɑː t)
article,ˈɑːtɪkɫ̩,ˈ(∅ ɑː ∅) (t ɪ ∅) (k ɫ̩ ∅)
articulate,ɑːˈtɪkjʊlət,(∅ ɑː ∅) ˈ(t ɪ ∅) (kj ʊ ∅) (l ə t)
artifact,ˈɑːtɪfakt,ˈ(∅ ɑː ∅) (t ɪ ∅) (f a kt)
artificial,ˌɑːtɪˈfɪʃəl,ˌ(∅ ɑː ∅) (t ɪ ∅) ˈ(f ɪ ∅) (ʃ ə l)
artist,ˈɑːtɪst,ˈ(∅ ɑː ∅) (t ɪ st)
artistic,ɑːˈtɪstɪk,(∅ ɑː ∅) ˈ(t ɪ ∅) (st ɪ k)
as,az,(∅ a z)
ash,aʃ,(∅ a ʃ)
asian,ˈeɪʤn̩,ˈ(∅ eɪ ∅) (ʤ n̩ ∅)
aside,əˈsaɪd,(∅ ə ∅) ˈ(s aɪ d)
ask,ɑːsk,(∅ ɑː sk)
asleep,əˈsliːp,(∅ ə ∅) ˈ(sl iː p)
aspect,ˈaspekt,ˈ(∅ a ∅) (sp e kt)
ass,as,(∅ a s)
assault,əˈsɔːlt,(∅ ə ∅) ˈ(s ɔː lt)
assemble,əˈsembɫ̩,(∅ ə ∅) ˈ(s e m) (b ɫ̩ ∅)
assembly,əˈsembli,(∅ ə ∅) ˈ(s e m) (bl i ∅)
assert,əˈsɜːt,(∅ ə ∅) ˈ(s ɜː t)
assess,əˈses,(∅ ə ∅) ˈ(s e s)
assessment,əˈsesmənt,(∅ ə ∅) ˈ(s e s) (m ə nt)
asset,ˈaset,ˈ(∅ a ∅) (s e t)
assign,əˈsaɪn,(∅ ə ∅) ˈ(s aɪ n)
assignment,əˈsaɪnmənt,(∅ ə ∅) ˈ(s aɪ n) (m ə nt)
assist,əˈsɪst,(∅ ə ∅) ˈ(s ɪ st)
assistance,əˈsɪstəns,(∅ ə ∅) ˈ(s ɪ ∅) (st ə ns)
assistant,əˈsɪstənt,(∅ ə ∅) ˈ(s ɪ ∅) (st ə nt)
assistant,əˈsɪstənt,(∅ ə ∅) ˈ(s ɪ ∅) (st ə nt)
associate,əˈsəʊsiət,(∅ ə ∅) ˈ(s əʊ ∅) (s iə t)
associated,əˈsəʊʃieɪtɪd,(∅ ə ∅) ˈ(s əʊ ∅) (ʃ i ∅) (∅ eɪ ∅) (t ɪ d)
association,əˌsəʊʃiˈeɪʃn̩,(∅ ə ∅) ˌ(s əʊ ∅) (ʃ i ∅) ˈ(∅ eɪ ∅) (ʃ n̩ ∅)
assume,əˈsjuːm,(∅ ə ∅) ˈ(sj uː m)
assumption,əˈsʌmpʃn̩,(∅ ə ∅) ˈ(s ʌ mp) (ʃ n̩ ∅)
assure,əˈʃɔː,(∅ ə ∅) ˈ(ʃ ɔː ∅)
astronomer,əˈstrɒnəmə,(∅ ə ∅) ˈ(str ɒ ∅) (n ə ∅) (m ə ∅)
at,at,(∅ a t)
athlete,ˈaθliːt,ˈ(∅ a θ) (l iː t)
athletic,aθˈletɪk,(∅ a θ) ˈ(l e ∅) (t ɪ k)
atmosphere,ˈatməsfiə,ˈ(∅ a t) (m ə s) (f iə ∅)
atop,əˈtɒp,(∅ ə ∅) ˈ(t ɒ p)
attach,əˈtaʧ,(∅ ə ∅) ˈ(t a ʧ)
attack,əˈtak,(∅ ə ∅) ˈ(t a k)
attempt,əˈtempt,(∅ ə ∅) ˈ(t e mpt)
attend,əˈtend,(∅ ə ∅) ˈ(t e nd)
attendance,əˈtendəns,(∅ ə ∅) ˈ(t e n) (d ə ns)
attention,əˈtenʃn̩,(∅ ə ∅) ˈ(t e n) (ʃ n̩ ∅)
attitude,ˈatɪtjuːd,ˈ(∅ a ∅) (t ɪ ∅) (tj uː d)
attorney,əˈtɜːni,(∅ ə ∅) ˈ(t ɜː ∅) (n i ∅)
attract,əˈtrakt,(∅ ə ∅) ˈ(tr a kt)
attraction,əˈtrakʃn̩,(∅ ə ∅) ˈ(tr a k) (ʃ n̩ ∅)
attractive,əˈtraktɪv,(∅ ə ∅) ˈ(tr a k) (t ɪ v)
attribute,ˈatrɪbjuːt,ˈ(∅ a ∅) (tr ɪ ∅) (bj uː t)
auction,ˈɔːkʃn̩,ˈ(∅ ɔː k) (ʃ n̩ ∅)
audience,ˈɔːdiəns,ˈ(∅ ɔː ∅) (d iə ns)
aunt,ɑːnt,(∅ ɑː nt)
author,ˈɔːθə,ˈ(∅ ɔː ∅) (θ ə ∅)
authority,ɔːˈθɒrəti,(∅ ɔː ∅) ˈ(θ ɒ ∅) (r ə ∅) (t i ∅)
authorize,ˈɔːθəraɪz,ˈ(∅ ɔː ∅) (θ ə ∅) (r aɪ z)
auto,ˈɔːtəʊ,ˈ(∅ ɔː ∅) (t əʊ ∅)
automatic,ˌɔːtəˈmatɪk,ˌ(∅ ɔː ∅) (t ə ∅) ˈ(m a ∅) (t ɪ k)
automatically,ˌɔːtəˈmatɪkli,ˌ(∅ ɔː ∅) (t ə ∅) ˈ(m a ∅) (t ɪ ∅) (kl i ∅)
automobile,ˈɔːtəməʊˌbiːl,ˈ(∅ ɔː ∅) (t ə ∅) (m əʊ ∅) ˌ(b iː l)
autonomy,ɔːˈtɒnəmi,(∅ ɔː ∅) ˈ(t ɒ ∅) (n ə ∅) (m i ∅)
availability,əˌveɪləˈbɪləti,(∅ ə ∅) ˌ(v eɪ ∅) (l ə ∅) ˈ(b ɪ ∅) (l ɪ ∅) (t i ∅)
available,əˈveɪləbɫ̩,(∅ ə ∅) ˈ(v eɪ ∅) (l ə ∅) (b ɫ̩ ∅)
average,ˈavərɪʤ,ˈ(∅ a ∅) (v ə ∅) (r ɪ ʤ)
avoid,əˈvɔɪd,(∅ ə ∅) ˈ(v ɔɪ d)
await,əˈweɪt,(∅ ə ∅) ˈ(w eɪ t)
awake,əˈweɪk,(∅ ə ∅) ˈ(w eɪ k)
award,əˈwɔːd,(∅ ə ∅) ˈ(w ɔː d)
aware,əˈweə,(∅ ə ∅) ˈ(w eə ∅)
awareness,əˈweənəs,(∅ ə ∅) ˈ(w eə ∅) (n ə s)
away,əˈweɪ,(∅ ə ∅) ˈ(w eɪ ∅)
away,əˈweɪ,(∅ ə ∅) ˈ(w eɪ ∅)
awful,ˈɔːfəl,ˈ(∅ ɔː ∅) (f ə l)
baby,ˈbeɪbi,ˈ(b eɪ ∅) (b i ∅)
back,ˈbak,ˈ(b a k)
background,ˈbakgraʊnd,ˈ(b a k) (gr aʊ nd)
backyard,ˌbakˈjɑːd,ˌ(b a k) ˈ(j ɑː d)
bacteria,bakˈtɪːriə,(b a k) ˈ(t ɪː ∅) (r iə ∅)
bad,bad,(b a d)
badly,ˈbadli,ˈ(b a d) (l i ∅)
bag,bag,(b a g)
bake,beɪk,(b eɪ k)
balance,ˈbaləns,ˈ(b a ∅) (l ə ns)
balanced,ˈbalənst,ˈ(b a ∅) (l ə nst)
ball,bɔːl,(b ɔː l)
balloon,bəˈluːn,(b ə ∅) ˈ(l uː n)
ballot,ˈbalət,ˈ(b a ∅) (l ə t)
ban,ban,(b a n)
ban,ban,(b a n)
banana,bəˈnɑːnə,(b ə ∅) ˈ(n ɑː ∅) (n ə ∅)
band,band,(b a nd)
bank,baŋk,(b a ŋk)
banker,ˈbaŋkə,ˈ(b a ŋ) (k ə ∅)
banking,baŋkɪŋ,(b a ŋ) (k ɪ ŋ)
bankruptcy,ˈbaŋkrʌptsi,ˈ(b a ŋk) (r ʌ pt) (s i ∅)
bar,bɑː,(b ɑː ∅)
bare,beə,(b eə ∅)
barely,ˈbeəli,ˈ(b eə ∅) (l i ∅)
barn,bɑːn,(b ɑː n)
barrel,ˈbarəl,ˈ(b a ∅) (r ə l)
barrier,ˈbariə,ˈ(b a ∅) (r iə ∅)
base,beɪs,(b eɪ s)
baseball,ˈbeɪsbɔːl,ˈ(b eɪ s) (b ɔː l)
basement,ˈbeɪsmənt,ˈ(b eɪ s) (m ə nt)
basic,ˈbeɪsɪk,ˈ(b eɪ ∅) (s ɪ k)
basically,ˈbeɪsɪkli,ˈ(b eɪ ∅) (s ɪ ∅) (kl i ∅)
basis,ˈbeɪsɪs,ˈ(b eɪ ∅) (s ɪ s)
basket,ˈbɑːskɪt,ˈ(b ɑː ∅) (sk ɪ t)
basketball,ˈbɑːskɪtbɔːl,ˈ(b ɑː ∅) (sk ɪ t) (b ɔː l)
bat,bat,(b a t)
bath,bɑːθ,(b ɑː θ)
bathroom,ˈbɑːθruːm,ˈ(b ɑː θ) (r uː m)
battery,ˈbatri,ˈ(b a ∅) (tr i ∅)
battle,ˈbatɫ̩,ˈ(b a ∅) (t ɫ̩ ∅)
bay,beɪ,(b eɪ ∅)
be,bi,(b i ∅)
beach,biːʧ,(b iː ʧ)
beam,biːm,(b iː m)
bean,biːn,(b iː n)
bear,beə,(b eə ∅)
beard,biəd,(b iə d)
beast,biːst,(b iː st)
beat,biːt,(b iː t)
